NP_006752.1	NM_006761.4	1433E_HUMAN	P62258-1
NP_001171587.1	NM_001178116.1	ABI1_HUMAN	Q8IZP0-12
NP_001171594.1	NM_001178123.1	ABI1_HUMAN	Q8IZP0-1
NP_005461.2	NM_005470.3	ABI1_HUMAN	Q8IZP0-1
NP_001012769.1	NM_001012751.2	ABI1_HUMAN	Q8IZP0-3
NP_001171592.1	NM_001178121.1	ABI1_HUMAN	Q8IZP0-2
NP_001012770.1	NM_001012752.2	ABI1_HUMAN	Q8IZP0-5
NP_001171591.1	NM_001178120.1	ABI1_HUMAN	Q8IZP0-4
NP_001171593.1	NM_001178122.1	ABI1_HUMAN	Q8IZP0-7
NP_001171590.1	NM_001178119.1	ABI1_HUMAN	Q8IZP0-6
NP_001012768.1	NM_001012750.2	ABI1_HUMAN	Q8IZP0-9
NP_000009.1	NM_000018.3	ACADV_HUMAN	P49748-1
NP_001257376.1	NM_001270447.1	ACADV_HUMAN	P49748-3
NP_001029031.1	NM_001033859.2	ACADV_HUMAN	P49748-2
NP_001032238.1	NM_001037161.1	ACOT1_HUMAN	Q86TX2-1
NP_005150.1	NM_005159.4	ACTC_HUMAN	P68032-1
NP_001606.1	NM_001615.3	ACTH_HUMAN	P63267-1
NP_001186822.1	NM_001199893.1	ACTH_HUMAN	P63267-2
NP_001095.2	NM_001104.3	ACTN3_HUMAN	Q08043-1
NP_001245300.2	NM_001258371.2	ACTN3_HUMAN	Q08043-1
NP_001096.1	NM_001105.4	ACVR1_HUMAN	Q04771-1
NP_001104537.1	NM_001111067.2	ACVR1_HUMAN	Q04771-1
NP_001334592.1	NM_001347663.1	ACVR1_HUMAN	Q04771-1
NP_001334593.1	NM_001347664.1	ACVR1_HUMAN	Q04771-1
NP_001334594.1	NM_001347665.1	ACVR1_HUMAN	Q04771-1
NP_001334595.1	NM_001347666.1	ACVR1_HUMAN	Q04771-1
NP_001334596.1	NM_001347667.1	ACVR1_HUMAN	Q04771-1
XP_006712888.1	XM_006712825.3	ACVR1_HUMAN	Q04771-1
XP_011510410.1	XM_011512108.2	ACVR1_HUMAN	Q04771-1
NP_000657.1	NM_000666.2	ACY1_HUMAN	Q03154-1
NP_001185824.1	NM_001198895.1	ACY1_HUMAN	Q03154-1
NP_001185826.1	NM_001198897.1	ACY1_HUMAN	Q03154-3
NP_001185825.1	NM_001198896.1	ACY1_HUMAN	Q03154-2
NP_001185827.1	NM_001198898.1	ACY1_HUMAN	Q03154-4
NP_689953.1	NM_152740.3	3HIDH_HUMAN	P31937-1
NP_062823.1	NM_019849.2	AAA1_HUMAN	Q9NS82-1
NP_001135977.1	NM_001142505.1	ABCG4_HUMAN	Q9H172-1
NP_001335120.1	NM_001348191.1	ABCG4_HUMAN	Q9H172-1
NP_071452.2	NM_022169.4	ABCG4_HUMAN	Q9H172-1
XP_011541254.1	XM_011542952.2	ABCG4_HUMAN	Q9H172-3
NP_001335121.1	NM_001348192.1	ABCG4_HUMAN	Q9H172-2
NP_078803.4	NM_024527.4	ABHD8_HUMAN	Q96I13-1
NP_115736.1	NM_032360.3	ACBD6_HUMAN	Q9BR61-1
NP_000740.1	NM_000749.4	ACHB3_HUMAN	Q05901-1
NP_001311300.1	NM_001324371.1	ACSM5_HUMAN	Q6NUN0-1
NP_060358.2	NM_017888.2	ACSM5_HUMAN	Q6NUN0-1
NP_001311302.1	NM_001324373.1	ACSM5_HUMAN	Q6NUN0-2
NP_542389.1	NM_080658.1	ACY3_HUMAN	Q96HD9-1
NP_003465.3	NM_003474.5	ADA12_HUMAN	O43184-1
NP_001275904.1	NM_001288975.1	ADA12_HUMAN	O43184-3
NP_067673.2	NM_021641.4	ADA12_HUMAN	O43184-2
NP_001275903.1	NM_001288974.1	ADA12_HUMAN	O43184-4
NP_997074.1	NM_207191.2	ADA15_HUMAN	Q13444-10
NP_001248395.1	NM_001261466.1	ADA15_HUMAN	Q13444-13
NP_001248393.1	NM_001261464.1	ADA15_HUMAN	Q13444-12
NP_997080.1	NM_207197.2	ADA15_HUMAN	Q13444-1
NP_997079.1	NM_207196.2	ADA15_HUMAN	Q13444-3
NP_003806.3	NM_003815.4	ADA15_HUMAN	Q13444-2
NP_997078.1	NM_207195.2	ADA15_HUMAN	Q13444-5
NP_997077.1	NM_207194.2	ADA15_HUMAN	Q13444-4
NP_001248394.1	NM_001261465.1	ADA15_HUMAN	Q13444-9
NP_000673.2	NM_000682.6	ADA2B_HUMAN	P18089-1
NP_001269376.1	NM_001282447.2	ADA33_HUMAN	Q9BZ11-1
NP_079496.1	NM_025220.4	ADA33_HUMAN	Q9BZ11-1
NP_694882.1	NM_153202.3	ADA33_HUMAN	Q9BZ11-2
NP_001138872.1	NM_001145400.1	ADAD2_HUMAN	Q8NCV1-1
NP_631913.3	NM_139174.3	ADAD2_HUMAN	Q8NCV1-2
NP_001311295.1	NM_001324366.1	ADAL_HUMAN	Q6DHV7-1
XP_011519593.1	XM_011521291.2	ADAL_HUMAN	Q6DHV7-1
XP_016877453.1	XM_017021964.1	ADAL_HUMAN	Q6DHV7-1
XP_016877454.1	XM_017021965.1	ADAL_HUMAN	Q6DHV7-1
XP_016877455.1	XM_017021966.1	ADAL_HUMAN	Q6DHV7-1
NP_001152752.1	NM_001159280.2	ADAL_HUMAN	Q6DHV7-3
NP_001012987.1	NM_001012969.3	ADAL_HUMAN	Q6DHV7-2
NP_001311293.1	NM_001324364.1	ADAL_HUMAN	Q6DHV7-2
NP_001311294.1	NM_001324365.1	ADAL_HUMAN	Q6DHV7-2
NP_001311297.1	NM_001324368.1	ADAL_HUMAN	Q6DHV7-2
NP_001136017.1	NM_001142545.1	ADCK1_HUMAN	Q86TW2-3
NP_065154.2	NM_020421.3	ADCK1_HUMAN	Q86TW2-2
NP_001185497.1	NM_001198568.1	ADCY4_HUMAN	Q8NFM4-1
NP_001185521.1	NM_001198592.1	ADCY4_HUMAN	Q8NFM4-1
NP_640340.2	NM_139247.3	ADCY4_HUMAN	Q8NFM4-1
NP_001106.1	NM_001115.2	ADCY8_HUMAN	P40145-1
NP_060887.2	NM_018417.5	ADCYA_HUMAN	Q96PN6-1
XP_011508062.1	XM_011509760.2	ADCYA_HUMAN	Q96PN6-1
NP_001284701.1	NM_001297772.1	ADCYA_HUMAN	Q96PN6-2
NP_001161221.1	NM_001167749.2	ADCYA_HUMAN	Q96PN6-4
NP_000661.2	NM_000670.4	ADH4_HUMAN	P08319-1
NP_001293100.1	NM_001306171.1	ADH4_HUMAN	P08319-2
NP_001293101.1	NM_001306172.1	ADH4_HUMAN	P08319-2
NP_000662.3	NM_000671.4	ADHX_HUMAN	P11766-1
NP_001171271.1	NM_001177800.1	ADIPO_HUMAN	Q15848-1
NP_004788.1	NM_004797.3	ADIPO_HUMAN	Q15848-1
NP_001115.1	NM_001124.2	ADML_HUMAN	P35318-1
NP_001124.1	NM_001133.2	AFAM_HUMAN	P43652-1
NP_940997.1	NM_198595.2	AFAP1_HUMAN	Q8N556-1
NP_001128119.1	NM_001134647.1	AFAP1_HUMAN	Q8N556-2
XP_011511846.1	XM_011513544.2	AFAP1_HUMAN	Q8N556-2
NP_001300889.1	NM_001313960.1	AFF1_HUMAN	P51825-1
NP_005926.1	NM_005935.3	AFF1_HUMAN	P51825-1
NP_001300888.1	NM_001313959.1	AFF1_HUMAN	P51825-3
NP_001160165.1	NM_001166693.2	AFF1_HUMAN	P51825-2
XP_005263064.1	XM_005263007.3	AFF1_HUMAN	P51825-2
XP_011530275.1	XM_011531973.2	AFF1_HUMAN	P51825-2
NP_006787.2	NM_006796.2	AFG32_HUMAN	Q9Y4W6-1
NP_001641.1	NM_001650.5	AQP4_HUMAN	P55087-1
NP_004019.1	NM_004028.4	AQP4_HUMAN	P55087-2
NP_001642.1	NM_001651.3	AQP5_HUMAN	P55064-1
NP_001643.2	NM_001652.3	AQP6_HUMAN	Q13520-1
NP_001161.1	NM_001170.2	AQP7_HUMAN	O14520-1
NP_001305086.1	NM_001318157.1	AQP7_HUMAN	O14520-1
NP_001305087.1	NM_001318158.1	AQP7_HUMAN	O14520-1
XP_005251510.1	XM_005251453.3	AQP7_HUMAN	O14520-1
XP_011516168.1	XM_011517866.2	AQP7_HUMAN	O14520-1
NP_001265308.1	NM_001278379.1	AR6P4_HUMAN	Q66PJ3-1
NP_061164.3	NM_018694.3	AR6P4_HUMAN	Q66PJ3-1
NP_057722.3	NM_016638.3	AR6P4_HUMAN	Q66PJ3-3
NP_001002251.2	NM_001002251.2	AR6P4_HUMAN	Q66PJ3-2
NP_001265307.1	NM_001278378.1	AR6P4_HUMAN	Q66PJ3-5
NP_001002252.2	NM_001002252.2	AR6P4_HUMAN	Q66PJ3-4
NP_001265309.1	NM_001278380.1	AR6P4_HUMAN	Q66PJ3-7
NP_056057.2	NM_015242.4	ARAP1_HUMAN	Q96P48-4
NP_001128662.1	NM_001135190.1	ARAP1_HUMAN	Q96P48-7
NP_001035207.1	NM_001040118.2	ARAP1_HUMAN	Q96P48-6
NP_001155855.1	NM_001162383.1	ARHG2_HUMAN	Q92974-1
NP_004714.2	NM_004723.3	ARHG2_HUMAN	Q92974-3
NP_001155856.1	NM_001162384.1	ARHG2_HUMAN	Q92974-2
NP_005426.2	NM_005435.3	ARHG5_HUMAN	Q12774-1
NP_055601.2	NM_014786.3	ARHGH_HUMAN	Q96PE2-1
NP_001124427.1	NM_001130955.1	ARHGI_HUMAN	Q6ZSZ5-1
NP_056133.2	NM_015318.3	ARHGI_HUMAN	Q6ZSZ5-2
XP_006722771.1	XM_006722708.2	ARHGI_HUMAN	Q6ZSZ5-2
XP_011526142.1	XM_011527840.1	ARHGI_HUMAN	Q6ZSZ5-2
NP_001238891.1	NM_001251962.1	ARHGQ_HUMAN	Q96DR7-1
NP_056410.3	NM_015595.3	ARHGQ_HUMAN	Q96DR7-1
NP_001238892.1	NM_001251963.1	ARHGQ_HUMAN	Q96DR7-4
NP_060295.1	NM_017825.2	ARHL2_HUMAN	Q9NX46-1
NP_115575.1	NM_032199.2	ARI5B_HUMAN	Q14865-1
NP_001231567.1	NM_001244638.1	ARI5B_HUMAN	Q14865-2
NP_003680.2	NM_003689.3	ARK72_HUMAN	O43488-1
NP_005728.2	NM_005737.3	ARL4C_HUMAN	P56559-1
NP_001269360.1	NM_001282431.1	ARL4C_HUMAN	P56559-2
NP_036229.1	NM_012097.3	ARL5A_HUMAN	Q9Y689-1
NP_001032251.1	NM_001037174.1	ARL5A_HUMAN	Q9Y689-2
NP_817114.2	NM_177985.2	ARL5A_HUMAN	Q9Y689-2
NP_001243058.1	NM_001256129.1	ARL8A_HUMAN	Q96BM9-1
NP_620150.1	NM_138795.3	ARL8A_HUMAN	Q96BM9-1
NP_996802.1	NM_206919.1	ARL9_HUMAN	Q6T311-2
XP_005265777.1	XM_005265720.3	ARL9_HUMAN	Q6T311-2
XP_006714099.1	XM_006714036.3	ARL9_HUMAN	Q6T311-2
NP_001269676.1	NM_001282747.1	ARMC3_HUMAN	Q5W041-1
NP_001269675.1	NM_001282746.1	ARMC3_HUMAN	Q5W041-3
NP_775104.2	NM_173081.4	ARMC3_HUMAN	Q5W041-2
NP_001269674.1	NM_001282745.1	ARMC3_HUMAN	Q5W041-4
NP_001098717.1	NM_001105247.1	ARMC5_HUMAN	Q96C12-1
NP_001275696.1	NM_001288767.1	ARMC5_HUMAN	Q96C12-1
NP_001288749.1	NM_001301820.1	ARMC5_HUMAN	Q96C12-1
NP_079018.1	NM_024742.2	ARMC5_HUMAN	Q96C12-4
NP_057692.1	NM_016608.1	ARMX1_HUMAN	Q9P291-1
NP_001184254.1	NM_001197325.1	ARNT_HUMAN	P27540-1
NP_001659.1	NM_001668.3	ARNT_HUMAN	P27540-1
NP_001272964.1	NM_001286035.1	ARNT_HUMAN	P27540-3
XP_016856778.1	XM_017001289.1	ARNT_HUMAN	P27540-3
NP_848514.1	NM_178427.2	ARNT_HUMAN	P27540-2
NP_001272965.1	NM_001286036.1	ARNT_HUMAN	P27540-4
NP_063946.2	NM_019893.2	ASAH2_HUMAN	Q9NR71-1
XP_011538272.1	XM_011539970.2	ASAH2_HUMAN	Q9NR71-1
NP_001137446.1	NM_001143974.1	ASAH2_HUMAN	Q9NR71-2
NP_001234925.1	NM_001247996.1	ASAP1_HUMAN	Q9ULH1-1
NP_060952.2	NM_018482.3	ASAP1_HUMAN	Q9ULH1-1
XP_005250982.1	XM_005250925.1	ASAP1_HUMAN	Q9ULH1-2
XP_006716626.1	XM_006716563.3	ASAP1_HUMAN	Q9ULH1-2
XP_011515354.1	XM_011517052.2	ASAP1_HUMAN	Q9ULH1-2
NP_543149.1	NM_080873.2	ASB11_HUMAN	Q8WXH4-1
NP_001012428.1	NM_001012428.2	ASB11_HUMAN	Q8WXH4-3
NP_001188512.1	NM_001201583.1	ASB11_HUMAN	Q8WXH4-2
NP_001136205.2	NM_001142733.2	ASB14_HUMAN	A6NK59-3
XP_016861225.1	XM_017005736.1	ASB14_HUMAN	A6NK59-3
XP_016861226.1	XM_017005737.1	ASB14_HUMAN	A6NK59-3
NP_569058.1	NM_130387.5	ASB14_HUMAN	A6NK59-2
NP_543139.4	NM_080863.4	ASB16_HUMAN	Q96NS5-1
NP_997721.2	NM_212556.3	ASB18_HUMAN	Q6ZVZ8-1
NP_057199.1	NM_016115.4	ASB3_HUMAN	Q9Y575-1
NP_001157637.1	NM_001164165.1	ASB3_HUMAN	Q9Y575-3
NP_001188894.1	NM_001201965.1	ASB3_HUMAN	Q9Y575-2
NP_665862.1	NM_145863.2	ASB3_HUMAN	Q9Y575-2
NP_543150.1	NM_080874.3	ASB5_HUMAN	Q8WWX0-1
XP_005262816.1	XM_005262759.1	ASB5_HUMAN	Q8WWX0-1
XP_011529919.1	XM_011531617.2	ASB5_HUMAN	Q8WWX0-2
NP_937886.1	NM_198243.2	ASB7_HUMAN	Q9H672-1
NP_078984.2	NM_024708.3	ASB7_HUMAN	Q9H672-2
NP_001306225.1	NM_001319296.1	ASB8_HUMAN	Q9H765-1
NP_001306226.1	NM_001319297.1	ASB8_HUMAN	Q9H765-1
NP_001306227.1	NM_001319298.1	ASB8_HUMAN	Q9H765-1
NP_001306228.1	NM_001319299.1	ASB8_HUMAN	Q9H765-1
NP_001306229.1	NM_001319300.1	ASB8_HUMAN	Q9H765-1
NP_001306230.1	NM_001319301.1	ASB8_HUMAN	Q9H765-1
NP_077000.1	NM_024095.4	ASB8_HUMAN	Q9H765-1
NP_001026909.1	NM_001031739.2	ASB9_HUMAN	Q96DX5-1
XP_005274503.1	XM_005274446.1	ASB9_HUMAN	Q96DX5-1
NP_001162002.1	NM_001168530.1	ASB9_HUMAN	Q96DX5-3
NP_001162003.1	NM_001168531.1	ASB9_HUMAN	Q96DX5-2
NP_076992.1	NM_024087.2	ASB9_HUMAN	Q96DX5-2
NP_004307.2	NM_004316.3	ASCL1_HUMAN	P50553-1
NP_064423.2	NM_020039.3	ASIC1_HUMAN	P78348-1
NP_001243759.1	NM_001256830.1	ASIC1_HUMAN	P78348-3
NP_001086.2	NM_001095.3	ASIC1_HUMAN	P78348-2
NP_001085.2	NM_001094.4	ASIC2_HUMAN	Q16515-1
NP_899233.1	NM_183377.1	ASIC2_HUMAN	Q16515-2
NP_001158222.1	NM_001164750.1	ASPH_HUMAN	Q12797-10
NP_004309.2	NM_004318.3	ASPH_HUMAN	Q12797-1
NP_064549.1	NM_020164.4	ASPH_HUMAN	Q12797-3
NP_115855.1	NM_032466.3	ASPH_HUMAN	Q12797-2
NP_001158223.1	NM_001164751.1	ASPH_HUMAN	Q12797-5
NP_115856.1	NM_032467.3	ASPH_HUMAN	Q12797-4
NP_001158228.1	NM_001164756.1	ASPH_HUMAN	Q12797-7
NP_001158227.1	NM_001164755.1	ASPH_HUMAN	Q12797-6
NP_001158225.1	NM_001164753.1	ASPH_HUMAN	Q12797-9
NP_115857.1	NM_032468.4	ASPH_HUMAN	Q12797-8
NP_056131.2	NM_015316.2	ASPP1_HUMAN	Q96KQ4-1
NP_001026855.2	NM_001031685.2	ASPP2_HUMAN	Q13625-3
NP_005417.1	NM_005426.2	ASPP2_HUMAN	Q13625-2
XP_011542571.1	XM_011544269.2	ASPP2_HUMAN	Q13625-2
NP_001603.1	NM_001612.5	ASPX_HUMAN	P26436-1
NP_064492.1	NM_020107.4	ASPX_HUMAN	P26436-3
NP_064454.1	NM_020069.4	ASPX_HUMAN	P26436-2
NP_064493.1	NM_020108.4	ASPX_HUMAN	P26436-4
NP_085135.1	NM_030632.2	ASXL3_HUMAN	Q9C0F0-1
NP_077816.1	NM_024490.3	AT10A_HUMAN	O60312-1
XP_005268318.1	XM_005268261.4	AT10A_HUMAN	O60312-1
XP_011520128.1	XM_011521826.2	AT10A_HUMAN	O60312-1
NP_079429.2	NM_025153.2	AT10B_HUMAN	O94823-1
XP_006714896.1	XM_006714833.2	AT10B_HUMAN	O94823-1
XP_011532770.1	XM_011534468.2	AT10B_HUMAN	O94823-1
XP_011532771.1	XM_011534469.1	AT10B_HUMAN	O94823-1
NP_001010986.1	NM_001010986.2	AT11C_HUMAN	Q8NB49-1
NP_775965.2	NM_173694.4	AT11C_HUMAN	Q8NB49-1
NP_078800.3	NM_024524.3	AT133_HUMAN	Q9H7F0-1
XP_011511425.1	XM_011513123.2	AT133_HUMAN	Q9H7F0-1
NP_940907.2	NM_198505.2	AT135_HUMAN	Q4VNC0-1
NP_653300.2	NM_144699.3	AT1A4_HUMAN	Q13733-1
NP_001001734.1	NM_001001734.1	AT1A4_HUMAN	Q13733-2
NP_001668.1	NM_001677.3	AT1B1_HUMAN	P05026-1
NP_775293.1	NM_173201.3	AT2A1_HUMAN	O14983-1
NP_001273004.1	NM_001286075.1	AT2A1_HUMAN	O14983-3
NP_004311.1	NM_004320.4	AT2A1_HUMAN	O14983-2
NP_001673.2	NM_001682.2	AT2B1_HUMAN	P20020-3
NP_001001323.1	NM_001001323.1	AT2B1_HUMAN	P20020-2
XP_011536709.1	XM_011538407.2	AT2B1_HUMAN	P20020-4
XP_016874847.1	XM_017019358.1	AT2B1_HUMAN	P20020-6
NP_001273456.2	NM_001286527.2	AT2C2_HUMAN	O75185-1
NP_001278383.1	NM_001291454.1	AT2C2_HUMAN	O75185-1
NP_055676.3	NM_014861.3	AT2C2_HUMAN	O75185-1
NP_006086.1	NM_006095.2	AT8A1_HUMAN	Q9Y2Q0-1
NP_001098999.1	NM_001105529.1	AT8A1_HUMAN	Q9Y2Q0-3
XP_016863134.1	XM_017007645.1	AT8A1_HUMAN	Q9Y2Q0-2
NP_001300670.1	NM_001313741.1	AT8A2_HUMAN	Q9NTI2-1
NP_057613.4	NM_016529.5	AT8A2_HUMAN	Q9NTI2-1
XP_005266476.1	XM_005266419.1	AT8A2_HUMAN	Q9NTI2-1
NP_005594.1	NM_005603.4	AT8B1_HUMAN	O43520-1
XP_006722544.1	XM_006722481.3	AT8B1_HUMAN	O43520-1
XP_011524324.1	XM_011526022.2	AT8B1_HUMAN	O43520-1
NP_000478.3	NM_000487.5	ARSA_HUMAN	P15289-1
NP_001078894.2	NM_001085425.2	ARSA_HUMAN	P15289-1
NP_001078895.2	NM_001085426.2	ARSA_HUMAN	P15289-1
NP_001078896.2	NM_001085427.2	ARSA_HUMAN	P15289-1
NP_001078897.1	NM_001085428.2	ARSA_HUMAN	P15289-2
XP_011528992.1	XM_011530690.2	ARSA_HUMAN	P15289-2
NP_000037.2	NM_000046.3	ARSB_HUMAN	P15848-1
XP_011541692.1	XM_011543390.1	ARSB_HUMAN	P15848-1
NP_942002.1	NM_198709.2	ARSB_HUMAN	P15848-2
NP_078866.3	NM_024590.3	ARSJ_HUMAN	Q5FYB0-1
XP_005263269.1	XM_005263212.4	ARSJ_HUMAN	Q5FYB0-1
XP_016864081.1	XM_017008592.1	ARSJ_HUMAN	Q5FYB0-1
NP_937793.1	NM_198150.2	ARSK_HUMAN	Q6UWY0-1
NP_620689.1	NM_139058.2	ARX_HUMAN	Q96QS3-1
NP_065733.2	NM_020682.3	AS3MT_HUMAN	Q9HBK9-1
NP_078977.2	NM_024701.3	ASB13_HUMAN	Q8WXK3-1
NP_115580.2	NM_032204.4	ASCC2_HUMAN	Q9H1I8-1
XP_005261832.1	XM_005261775.2	ASCC2_HUMAN	Q9H1I8-1
XP_016884487.1	XM_017028998.1	ASCC2_HUMAN	Q9H1I8-1
XP_016884488.1	XM_017028999.1	ASCC2_HUMAN	Q9H1I8-1
XP_016884489.1	XM_017029000.1	ASCC2_HUMAN	Q9H1I8-1
NP_001229835.1	NM_001242906.1	ASCC2_HUMAN	Q9H1I8-3
NP_699171.3	NM_153340.4	AT7L2_HUMAN	Q5T6C5-1
NP_149053.1	NM_033064.4	ATCAY_HUMAN	Q86WG3-1
NP_001229267.2	NM_001242338.2	ATD2B_HUMAN	Q9ULI0-1
NP_060022.2	NM_017552.3	ATD2B_HUMAN	Q9ULI0-1
NP_005162.1	NM_005171.4	ATF1_HUMAN	P18846-1
XP_011536688.1	XM_011538386.2	ATF1_HUMAN	P18846-1
XP_011536689.1	XM_011538387.2	ATF1_HUMAN	P18846-1
XP_016874821.1	XM_017019332.1	ATF1_HUMAN	P18846-1
XP_016874822.1	XM_017019333.1	ATF1_HUMAN	P18846-1
XP_016874823.1	XM_017019334.1	ATF1_HUMAN	P18846-1
NP_060506.5	NM_018036.6	ATG2B_HUMAN	Q96BY7-1
NP_001268433.1	NM_001281504.1	ATG4D_HUMAN	Q86TL0-1
NP_116274.3	NM_032885.5	ATG4D_HUMAN	Q86TL0-1
NP_006347.1	NM_006356.2	ATP5H_HUMAN	O75947-1
NP_001003785.1	NM_001003785.1	ATP5H_HUMAN	O75947-2
NP_008969.2	NM_007038.4	ATS5_HUMAN	Q9UNA0-1
NP_055087.2	NM_014272.4	ATS7_HUMAN	Q9UKP4-1
NP_037368.1	NM_013236.3	ATX10_HUMAN	Q9UBB4-1
NP_001161093.1	NM_001167621.1	ATX10_HUMAN	Q9UBB4-2
NP_853553.1	NM_181575.4	AUP1_HUMAN	Q9Y679-2
NP_001186768.1	NM_001199839.1	B2CL2_HUMAN	Q92843-1
NP_004041.1	NM_004050.4	B2CL2_HUMAN	Q92843-1
NP_001269445.1	NM_001282516.1	B2L12_HUMAN	Q9HB09-1
NP_001269448.1	NM_001282519.1	B2L12_HUMAN	Q9HB09-1
NP_001269449.1	NM_001282520.1	B2L12_HUMAN	Q9HB09-1
NP_001269450.1	NM_001282521.1	B2L12_HUMAN	Q9HB09-1
NP_619580.1	NM_138639.1	B2L12_HUMAN	Q9HB09-1
NP_001035758.1	NM_001040668.1	B2L12_HUMAN	Q9HB09-3
NP_001269446.1	NM_001282517.1	B2L12_HUMAN	Q9HB09-2
XP_016882835.1	XM_017027346.1	B2L12_HUMAN	Q9HB09-2
NP_001033717.1	NM_001038628.1	B3GL1_HUMAN	O75752-1
NP_003772.1	NM_003781.3	B3GL1_HUMAN	O75752-1
NP_149357.1	NM_033167.2	B3GL1_HUMAN	O75752-1
NP_149358.1	NM_033168.2	B3GL1_HUMAN	O75752-1
NP_149359.1	NM_033169.2	B3GL1_HUMAN	O75752-1
XP_005247916.1	XM_005247859.4	B3GL1_HUMAN	O75752-1
NP_619651.3	NM_138706.4	B3GN6_HUMAN	Q6ZMB0-1
NP_940942.1	NM_198540.2	B3GN8_HUMAN	Q7Z7M8-1
XP_011525236.1	XM_011526934.2	B3GN8_HUMAN	Q7Z7M8-1
NP_001009905.1	NM_001009905.2	B3GNL_HUMAN	Q67FW5-1
XP_006722335.1	XM_006722272.3	B3GNL_HUMAN	Q67FW5-1
NP_066191.1	NM_020981.3	B3GT1_HUMAN	Q9Y5Z6-1
XP_005246988.1	XM_005246931.3	B3GT1_HUMAN	Q9Y5Z6-1
XP_006712882.1	XM_006712819.3	B3GT1_HUMAN	Q9Y5Z6-1
XP_011510387.1	XM_011512085.2	B3GT1_HUMAN	Q9Y5Z6-1
NP_003774.1	NM_003783.3	B3GT2_HUMAN	O43825-1
NP_003773.1	NM_003782.3	B3GT4_HUMAN	O96024-1
NP_075050.3	NM_022899.4	ARP8_HUMAN	Q9H981-1
XP_005265644.1	XM_005265587.4	ARP8_HUMAN	Q9H981-1
XP_011532551.1	XM_011534249.2	ARP8_HUMAN	Q9H981-2
NP_057200.1	NM_016116.2	ASB4_HUMAN	Q9Y574-1
NP_665879.1	NM_145872.2	ASB4_HUMAN	Q9Y574-2
NP_001185728.1	NM_001198799.2	ASCC1_HUMAN	Q8N9N2-1
NP_001185727.1	NM_001198798.2	ASCC1_HUMAN	Q8N9N2-2
NP_001185729.1	NM_001198800.2	ASCC1_HUMAN	Q8N9N2-2
XP_006717936.1	XM_006717873.3	ASCC1_HUMAN	Q8N9N2-2
NP_060959.2	NM_018489.2	ASH1L_HUMAN	Q9NR48-2
XP_006711513.1	XM_006711450.3	ASH1L_HUMAN	Q9NR48-2
